subject_id,group,driving_experience_y,condition,brake_reaction_time_s,hr_mean_bpm,hr_sd_bpm,ibi_mean_ms,sdnn_ms,rmssd_ms,pnn50_pct,lf_power,hf_power,lf_hf_ratio,poincare_sd1_ms,poincare_sd2_ms,blink_count,blink_rate_per_min,blink_duration_mean_ms,fixation_count,fixation_duration_mean_ms,fixation_total_duration_s,fixation_time_ratio_pct,fixation_sample_count,saccade_count,saccade_duration_mean_ms,gap_count,pupil_diameter_mean_mm,pupil_diameter_sd_mm,gaze_velocity_mean_deg_s,gaze_velocity_max_deg_s,gaze_velocity_sd_deg_s,gaze_x_mean_pct,gaze_x_sd_pct,gaze_y_mean_pct,gaze_y_sd_pct
P24,YE,8,0-back,1.563,78.3,27.47,766.24,326.2256,349.9538,14.2322,0.0459,0.0103,4.4757,247.9211,389.9987,77,22.5,139.79,467,159.99,74.714,40.71,5195,2534,23.22,1823,4.8612,0.4531,43.3807,1237.8243,88.9178,37.68,25.25,43.53,28.21
P24,YE,8,1-back,1.789,80.7,16.22,743.45,207.3371,202.555,9.4891,0.0401,0.0138,2.9013,143.491,256.3063,114,33.32,149.47,446,164.24,73.249,44.27,110,2079,25.12,98,4.6045,0.565,44.3257,1768.8052,91.9229,6.21,15.24,12.9,34.11
P24,YE,8,2-back,1.938,86.69,38.49,692.15,87.8407,82.0941,2.3729,0.0582,0.0175,3.329,58.1482,110.006,167,48.8,157.68,414,206,85.286,55.97,220,1471,27.09,104,4.2116,0.6144,41.0208,1858.6557,98.1832,44.93,42.89,20.9,24.53
P24,YE,8,baseline,1.785,87.25,22.46,687.65,129.3494,78.6819,4.3771,0.024,0.003,8.0267,55.7307,174.5238,118,34.48,137.92,422,237.64,100.285,59.4,193,1564,25.65,86,4.4913,0.5985,35.9603,1912.8717,89.1651,31.51,29.07,33.86,21.45
P25,YE,11,0-back,1.375,89.88,27.47,667.58,249.0626,271.0879,3.4826,0.0065,0.0104,0.6271,191.9275,295.8634,96,21.39,151.22,538,190.57,102.527,62.39,13590,1478,26.09,4558,4.3216,0.2542,61.2856,1340.2257,151.9951,40.58,27.95,44.75,27.97
P25,YE,11,1-back,1.76,87.64,16.22,684.62,135.7596,67.8213,4.3367,0.014,0.0027,5.1655,48.0183,186.1273,81,18.05,135.77,555,189.23,105.02,64.11,2590,1338,25.16,648,4.191,0.287,57.7058,1195.8701,146.0073,41.65,21.05,50.51,24.13
P25,YE,11,2-back,1.9375,68.64,38.49,874.12,547.8349,509.6562,29.6417,0.0096,0.0032,2.975,360.8302,644.1072,87,19.39,153.24,625,202.93,126.834,65.74,2220,1435,26.07,1018,4.1102,0.3314,61.6252,1195.0745,151.881,39.69,33.28,42.22,30.05
P25,YE,11,baseline,1.3125,91.79,22.46,653.65,34.7532,15.6235,0.4878,0.0157,0.003,5.1699,11.0609,47.8863,128,28.52,161.44,725,183.99,133.39,61.76,14281,1777,26.84,1550,4.4291,0.3265,61.2828,1568.9787,147.9645,98.19,27.57,9.64,26.47
P26,YE,10,0-back,1.563,62.65,27.47,957.77,409.3517,315.1702,25.5,0.0028,0.0016,1.7318,223.1388,534.9047,128,19.94,136.99,674,456.05,307.377,86.34,2540,1052,36.94,600,4.0968,0.2647,23.3035,2600.1279,95.9978,44.22,20.51,49.6,22.48
P26,YE,10,1-back,1.775,67.41,16.22,890.01,248.0881,183.7234,13.4571,0.0104,0.0011,9.3507,130.0634,326.2882,112,17.45,127.67,636,483.48,307.491,86.8,14946,1015,36.41,4239,4.123,0.2384,23.5013,2668.5778,98.6295,48.79,31.68,49.05,25.78
P26,YE,10,2-back,1.938,70.27,38.49,853.85,84.8762,74.0489,21.6036,0.0135,0.0096,1.3982,52.4189,108.0907,140,21.81,136.44,660,448.87,296.252,86.43,5975,1052,34.18,2441,4.0948,0.2792,24.3236,2993.0969,100.9589,42.19,32.58,44.34,28.5
P26,YE,10,baseline,1.785,59.2,22.46,1013.43,702.1021,720.372,35.6201,0.0097,0.0004,27.3575,510.0548,853.3885,80,12.46,129.4,561,518.82,291.057,86.58,2541,895,40.7,431,4.1893,0.3216,25.0936,2059.7443,95.8516,90.63,37.37,16.7,44.97
P27,YE,9,0-back,1.352,83.25,27.47,723.14,134.8201,131.08495,7.36195,0.05805,0.02655,2.1789,92.97175,166.52175,36,14.785,161.365,400,190.305,75.8445,68.2,1571,893.5,26.065,472,3.92175,0.26585,55.26965,1241.592,142.87645,42.76,17.33,52.1,21.57
P27,YE,9,1-back,2.515,83.955,16.22,714.76,87.39765,75.3196,4.0002,0.0537,0.02235,2.5075,53.39095,111.57655,51,21.615,148.08,382.5,179.5,68.6515,65.36,2539,958.5,24.36,1686,4.09225,0.27605,62.4747,1429.92485,155.91535,31.91,46.91,11.55,29.57
P27,YE,9,2-back,2.5625,63.595,38.49,962.295,515.5435,412.2681,28.34515,0.0233,0.00905,2.5693,292.60725,666.00805,43,18.61,143.495,329.5,174.875,63.236,53.175,9787,1084.5,22.24,4199,4.1883,0.23435,72.31995,1240.3178,169.3068,34.77,28.37,36.26,27.57
P27,YE,9,baseline,2.5625,79.15,22.46,766.85,244.097,252.66715,16.64715,0.0409,0.01845,2.5333,179.24565,296.0637,59.5,24.595,162.34,295,221.535,65.4975,71.875,1566,620.5,27.1,241,3.7613,0.32235,48.547,1531.70105,133.90485,90.76,34.28,9.19,26.21
P28,YE,22,0-back,2.25,80.32,30.85,747.01,136.3689,157.2043,14.375,0.0377,0.0734,0.5133,111.5105,157.8566,43,21.34,179.12,277,182.49,50.551,63.09,10760,720,24.27,1332,3.5803,0.2676,61.3049,1205.237,153.7396,23.73,28.84,10.64,27.51
P28,YE,22,1-back,2.25,57.8,17.923,1038.12,699.5717,671.9721,54.3103,0.0172,0.0128,1.3422,477.2337,869.5442,43,21.34,171.65,282,191.64,54.043,60.26,15292,811,23.86,515,4.0023,0.3056,73.7887,1207.8371,171.9426,22.4,32.2,9.51,24.56
P28,YE,22,2-back,2.5625,54.08,17.36,1109.47,850.7193,979.1385,41.6667,0.0361,0.0085,4.2597,695.6133,986.8454,67,33.25,141.6,220,142.5,31.35,37.79,19192,1015,24.38,1270,4.1743,0.3063,101.4395,1563.175,199.1721,33.66,39.1,8.71,21.5
P28,YE,22,baseline,2.017,72.1,23.66,832.15,395.7564,288.6286,16.6667,0.0197,0.0026,7.5518,204.0189,432.3806,37,18.36,141.78,199,282.39,56.196,78.17,16747,374,29.85,249.5,3.4361,0.2674,38.5596,1359.9787,118.4259,0.75,7.43,0.6,6.04
P29,YN,2,0-back,1.78,77.795,11.965,784.085,294.04065,94.6984,5.71705,0.01275,0.0054,2.8154,67.15795,411.05885,111.5,53.445,152.255,261,255.34,66.3585,66.255,3471,731,29.3,2095,4.0828,0.5043,38.11665,2888.99945,104.3618,20.58,26.41,9.87,22.96
P29,YN,2,1-back,1.938,86.895,17.36,690.545,30.8477,17.7053,0.55305,0.0142,0.00405,3.5317,12.55405,41.83765,88.5,41.75,150.035,294.5,250.23,73.3005,68.56,2540,825.5,24.205,1835,4.30915,0.6916,28.59525,1488.26025,82.0178,25.02,38.13,4.46,16.85
P29,YN,2,2-back,2.295,79.785,23.66,755.165,354.6886,339.2816,4.3037,0.0037,0.0017,2.73095,240.7176,441.6997,61.5,28.75,145.545,287,249.02,71.5165,65.575,2540,890.5,23.47,926,4.79425,0.4449,27.47175,1650.85925,77.58385,28.83,23.47,13.52,27.55
P29,YN,2,baseline,1.571,72.435,30.85,860.02,450.7318,552.62845,18.87405,0.02605,0.019,2.1822,392.2181,501.89215,108.5,51.225,147.245,230.5,273.855,63.1985,66.645,3490,666.5,30.085,2028,3.9825,0.5766,38.7527,1616.67865,106.27315,29.77,39.02,7.1,24.91
P30,YN,2,0-back,1.78,76.69,11.965,782.6,62.0772,27.5819,7.5385,0.01995,0.0063,3.08275,19.5333,85.03235,97,32.6,152.87,289.5,263.44,76.2945,65.895,2540,518,28.085,2049,4.05905,0.21665,39.06265,1123.36685,98.5502,12.48,25.18,5.9,21.64
P30,YN,2,1-back,2.5625,66.07,17.36,924.39,570.08715,540.097,15.90605,0.0185,0.00175,13.88845,383.22365,710.785,83,27.765,135.415,355,265.47,94.317,70.575,1566,749,25.82,958,4.25415,0.3172,30.2915,1433.35825,83.8459,27.31,35.22,3.76,22.52
P30,YN,2,2-back,2.5625,63.455,23.66,968.1,433.47235,458.3107,34.2604,0.02465,0.0128,1.8439,325.24845,519.2732,81.5,26.725,146.22,261,301.02,77.72,65.635,1566,572,23.785,813,3.9782,0.3075,32.14355,1479.1661,87.59565,26.43,24.83,12.87,27.56
P30,YN,2,baseline,1.546,76.175,30.85,788.01,66.92995,34.5812,8.37925,0.01275,0.003,4.32075,24.5094,91.0205,65.5,21.985,164.37,219.5,254.605,56.2135,70.435,3471,421,25.735,2385,3.94855,0.26185,26.72565,842.73065,67.0523,20.89,30.21,5.85,19.43
P31,YN,2,0-back,1.789,63.13,11.965,950.43,710.7501,299.9878,16.4491,0.0014,0.0002,8.9104,212.4016,983.5824,102,16.78,132.96,481,630.73,303.379,89.39,1635,820,33.23,1243,5.1166,0.4602,16.6665,1213.2238,67.0979,13.19,25.2,3.06,15.12
P31,YN,2,1-back,1.938,85.26,17.36,703.7,147.9959,151.604,8.7041,0.0187,0.0083,2.2485,107.3042,179.928,84,13.82,126.55,522,599.11,312.734,90.3,641,809,32.69,482,5.1822,0.4214,15.7028,1498.7107,64.1453,16.02,25.07,1.99,15.11
P31,YN,2,2-back,2.295,73.1,23.66,820.82,552.7232,386.4032,12.4153,0.0032,0.0006,5.6183,273.5379,733.14,115,18.92,128.37,500,602.83,301.414,89.03,641,844,33.32,475,5.1236,0.4485,18.1631,1430.6572,74.0383,16.62,23.38,9.94,21.77
P31,YN,2,baseline,1.541,84.19,30.85,712.68,242.2191,212.6087,7.6471,0.0206,0.0007,27.8915,150.4799,305.9332,116,19.08,123.29,488,602.45,293.995,88.65,5321,827,34.84,3698,5.317,0.5058,18.4439,1572.255,73.8574,18.72,26.42,8.29,21.22
P32,EE,22,0-back,0.572,83.07,6.67,722.27,27.8036,25.3823,1.2048,0.0096,0.0072,1.3275,17.9696,34.9997,48,9.57,126.44,326,659.51,215.001,94.07,925,421,22.41,268,2.8,0.0879,10.5112,1363.2483,45.4128,53.7,38.92,50.33,27.82
P32,EE,22,1-back,0.6875,81.44,10.74,736.71,16.8833,15.8918,1.2285,0.0039,0.0116,0.3348,11.2507,20.96,24,4.79,129.83,327,660.34,215.932,94.52,1865,413,20.78,464,2.8016,0.1305,8.285,1306.9814,28.969,41.58,24.95,54.19,32.3
P32,EE,22,2-back,1.625,52.65,7.13,1139.59,1154.7518,831.0492,26.9962,0.0045,0.0006,7.7339,588.7652,1526.0957,16,3.19,159.44,118,606.08,71.517,90.79,1680,182,27.75,1043,3.2897,0.5418,15.6861,1306.6411,62.7573,24.48,31.28,25.54,35.46
P32,EE,22,baseline,2.145,85.99,12.56,697.78,23.3999,12.5168,0.4651,0.003,0.0024,1.2563,8.8591,31.6575,61,12.17,121.69,263,792.35,208.387,94.08,1545,354,25.97,159,2.7349,0.1242,9.5942,1398.6429,41.8874,48.78,14.71,64.99,20.36
P33,EE,20,0-back,0.572,73.67,6.67,814.45,186.3635,227.2301,25.2033,0.0431,0.0626,0.6885,160.9267,182.7815,43,12.83,144.86,251,380.02,95.386,85.2,1375,438,22.94,414,2.9088,0.1878,14.8567,2404.9784,62.9065,39.92,25.95,51.11,29.29
P33,EE,20,1-back,1.78,71.45,10.74,839.78,27.1955,24.3185,5.042,0.0116,0.0095,1.2233,17.2286,34.0482,19,5.67,174.63,65,214.08,13.915,73.5,1485,127,20.09,318,2.8017,0.1889,23.6348,1023.1708,79.6275,49.95,29.62,55.31,22.92
P33,EE,20,2-back,1.956,67.66,7.13,886.85,311.7421,270.9503,33.6283,0.018,0.0053,3.3873,192.0038,395.1237,22,6.56,158.41,74,250.45,18.533,77.55,1670,122,24.9,480,2.693,0.2384,21.2436,2319.3244,85.4117,40.99,27.09,52.57,30.17
P33,EE,20,baseline,1.822,74.92,12.56,800.87,26.387,22.6895,2.8,0.02,0.0126,1.5866,16.075,33.4633,9,2.69,120.33,232,517.13,119.974,92.89,100,307,22.72,9,2.7241,0.1432,11.9653,1387.2083,54.95,51.21,12.44,70.78,22.07
P34,EE,18,0-back,1.563,76.345,6.67,786.135,95.134,89.1784,8.33335,0.0305,0.01295,2.5208,63.2509,119.11145,9,3.51,123.81,157.5,931.485,136.459,96.43,14796,177.5,25.775,854,2.6728,0.0989,8.22015,1721.009,40.29505,38.76,23.91,49.58,28.54
P34,EE,18,1-back,1.78,76.95,10.74,780.18,36.6889,26.7723,5.73475,0.01555,0.00985,1.52325,18.98205,48.328,11,4.285,109.1,159.5,748.595,103.4515,92.6,3605,238.5,23.935,547,2.822,0.198,12.695,1491.5812,73.15285,44.64,17.32,55.92,19.87
P34,EE,18,2-back,1.938,76.235,7.13,787.42,104.4434,103.75685,2.62235,0.00565,0.0045,1.20825,73.40355,81.79155,10,3.97,115.74,82,573.25,50.846,89.225,15438,119,22.74,3298,2.9445,0.12395,16.0196,1535.11225,75.12515,42.77,20.06,55.55,24.38
P34,EE,18,baseline,2.145,78.5,12.56,764.44,19.11375,16.9731,0.4695,0.0061,0.00925,0.66665,12.0326,24.25025,12.5,4.88,137.7,145,913.26,129.171,95.63,14136,182.5,25.24,4032,2.61585,0.1042,8.98875,756.2279,35.5952,48.97,27.61,41.03,18.54
P35,EE,17,0-back,0.572,65.685,6.67,913.45,37.5976,30.5802,9.91455,0.0373,0.0183,2.00285,21.67735,48.2923,37.5,13.005,238.51,363.5,299.76,108.54,78.81,2540,615.5,28.75,949,3.8462,0.3854,22.7869,1053.40725,59.2505,37.37,24.09,45.71,28.35
P35,EE,17,1-back,1.78,74.87,10.74,802.34,109.2031,29.5945,8.2871,0.00135,0.0003,5.44995,20.9717,153.19875,36.5,12.14,213.265,369,336.97,122.8065,84.415,9767,626,25.24,1303,4.17695,0.4387,16.08255,788.6722,40.2838,47.57,17.21,58.22,18.07
P35,EE,17,2-back,2.5625,69.34,7.13,865.525,65.22935,55.40305,12.0825,0.00655,0.00395,2.22375,39.2679,80.74145,16,5.385,187.355,326,437.335,140.715,83.565,2540,570,20.15,821,3.9046,0.34495,15.4112,945.1977,41.67075,41.75,21.43,52.36,26.6
P35,EE,17,baseline,2.145,63.52,12.56,944.62,50.8829,37.62465,18.01015,0.03415,0.00975,3.63805,26.6785,66.97625,29.5,10.035,194.36,295,290.585,84.417,82.81,2541,429.5,30.485,744,3.6888,0.3763,19.41955,1119.49285,53.22505,54.41,37.43,40.43,20.86
P36,YE,20,0-back,1.563,51.61,4.96,1162.47,952.7099,1020.6578,45.8204,0.0143,0.0055,2.6091,722.8357,1139.1597,132,20.47,152.03,753,262.46,197.636,64.05,440,1787,24.36,236,4.2623,0.2857,31.4835,1162.039,71.9261,47.26,49.64,3.37,10.74
P36,YE,20,1-back,1.78,64.22,5.58,934.24,524.8081,400.3514,26.1501,0.011,0.0009,11.759,283.4354,686.8345,128,19.85,147.91,730,247.39,180.598,59.55,110,1891,24.5,80,4.1964,0.2607,33.6001,1339.5519,73.7162,30.9,46.86,1.41,4.25
P36,YE,20,2-back,1.963,67.77,6.26,885.31,371.5164,348.107,19.5402,0.0109,0.0032,3.4316,246.4328,464.5884,108,16.75,167.77,691,272.04,187.982,73.78,691,1498,25.6,224,4.2725,0.3186,25.2239,1161.9814,62.2492,77.31,50,7.49,14.27
P36,YE,20,baseline,0.6875,50.91,5.5,1178.62,1240.5522,1384.7347,44.3077,0.0088,0.0003,28.0373,980.6497,1451.0106,61,9.46,147.33,807,214.77,173.317,65.16,17090,2435,21.37,249.5,4.1858,0.3845,25.7175,902.1586,52.5813,82.39,50,16.65,20.67
P37,YE,18,0-back,1.625,67.02333333,4.96,905.56,289.9791333,334.0607333,26.71926667,0.021666667,0.019566667,2.556333333,236.6947,332.4096667,155.3333333,36.87333333,161.72,593.6666667,177.6733333,107.651,51.43333333,25626,2160.666667,27.65666667,1332,4.255966667,0.3258,73.72236667,1760.518433,184.6585667,73.09,49.29,5.43,23.34
P37,YE,18,1-back,1.625,69.69666667,5.58,863.0266667,133.4153,111.427,23.74903333,0.026866667,0.0133,4.0669,78.9231,171.3912,171,41.72333333,162.1266667,507.3333333,157.0833333,85.133,43.12,1276,2103.666667,28.28333333,116,4.2318,0.341466667,88.43773333,2159.217967,203.0609,100,29.4,7.27,11.32
P37,YE,18,2-back,,62.31,,966.4266667,384.475,366.4132333,28.59536667,0.0054,0.0027,2.910133333,259.5838333,472.5214333,123.3333333,29.93666667,170.3966667,559.6666667,163.8633333,93.304,48.78,,2096.666667,26.73,,4.135666667,0.3154,73.87106667,1830.503133,187.6754667,,,,
P37,YE,18,baseline,1.785,60.75,5.5,1063.65,413.8656333,266.8371333,24.75923333,0.019966667,0.0074,4.117333333,189.3011667,555.0573,132.6666667,31.28333333,159.4166667,549.6666667,190.6933333,104.0746667,54.58666667,640,1921,27.72666667,209,4.144966667,0.362066667,61.83553333,1988.384967,167.2095667,80.93,50,21.16,30.79
P38,YN,2,0-back,1.78,58.7,14.21,1027.61,75.2234,68.1488,41.0888,0.03055,0.0216,1.72885,48.38575,94.04085,115,51.89,124.57,261,283.095,73.432,66.385,10517,775.5,31.015,1001,4.5481,0.4521,40.65235,1483.06575,103.9583,23.3,42.97,4.2,20.78
P38,YN,2,1-back,1.938,69.275,8.58,866.51,121.46615,43.81475,21.78595,0.0253,0.00285,5.65265,31.07275,168.7087,103,47.935,137.125,247,305.34,74.5225,67.955,6034.333,770.5,28.99,765.25,4.86025,0.5396,36.22165,1624.9875,97.91375,35.313,29.128,20.823,17.271
P38,YN,2,2-back,2.295,66.645,9.66,900.455,76.07865,47.58975,21.85745,0.0099,0.00625,1.67135,33.7592,100.98205,85.5,40.57,130.885,205.5,463.63,78.1675,70.245,13870,675,29.055,543,5.1161,0.4278,29.62965,1858.9183,87.86445,30.48,27.76,9.27,22.36
P38,YN,2,baseline,1.536,58.95,10.04,1020.36,85.9067,51.98935,35.64935,0.0196,0.00715,2.71745,36.9081,115.77455,101,46.525,127.335,271.5,266.015,72.1505,69.47,5872,651,33.04,3236,4.33445,0.41535,35.29875,1517.78025,93.3452,24.61,29.76,8.85,27.29
P39,YN,2,0-back,1.78,54.27,14.21,1105.49,72.3682,71.3209,45.3782,0.0384,0.0204,1.8834,50.6444,89.284,103,46.26,127.2,305,266.75,81.358,69.84,8875,781,28.92,1001,4.5718,0.4604,34.8305,1819.9125,97.7519,22,42.11,2.05,15.02
P39,YN,2,1-back,1.938,61.92,8.58,968.92,141.0438,55.4681,34.5588,0.0013,0.0008,1.6762,39.3647,196.2124,112,50.3,138.66,273,270.85,73.943,63.83,19288,915,28.2,716.5,4.8128,0.5968,42.2581,1686.5435,111.7316,39.43,49.6,6.37,22.99
P39,YN,2,2-back,1.625,57.95,9.66,1035.46,88.3355,79.4284,50.7812,0.0229,0.0406,0.563,56.3777,109.6483,134,60.18,146.37,216,134.36,29.021,27.98,4056,1585,26.59,1734,5.1692,0.6608,80.4139,2430.8355,159.6862,26.09,22.22,10.07,23.46
P39,YN,2,baseline,1.531,58.13,10.04,1032.15,104.8045,55.6131,39.8438,0.0065,0.0022,2.9185,39.48,143.4159,97,43.56,127.02,249,279.45,69.583,72.01,8909,557,33.58,2028,4.1299,0.4332,37.2984,3063.8368,114.0949,24.92,33.89,7.81,23.8
P40,YN,2,0-back,1.625,64.38,14.21,932,702.5357,401.9778,25.5263,0.0004,0,16.7296,284.578,944.4217,399,66.6,210.38,431,199.52,85.995,37.95,1386,2144,25.16,1021,3.0136,0.397,99.8241,1623.8759,208.6972,13.08,22.44,3.71,16.33
P40,YN,2,1-back,1.625,69.47,8.58,863.68,303.1385,273.152,11.7207,0.0011,0.0003,3.3658,193.3895,383.1605,386,64.43,203.09,446,170.22,75.916,36.94,3059,1929,25.27,1635,2.9132,0.3567,103.3003,1657.4459,211.4898,40.15,43.61,4.7,21.54
P40,YN,2,2-back,2.295,68.49,9.66,876.09,130.2227,110.7466,19.3154,0.0441,0.0073,6.0244,78.4053,166.6665,387,64.59,202.12,390,215.6,84.085,36.71,640,1531,25.18,486,3.0923,0.3977,107.7313,1614.0044,218.7596,17.05,25.05,10.4,21.93
P40,YN,2,baseline,1.563,52.4,10.04,1144.97,901.9463,742.065,36.1022,0.0051,0.0004,11.5245,525.5621,1164.2878,211,35.22,177.51,553,289.95,160.341,68.53,5490,1228,29.88,4039,3.5467,0.3643,55.1418,1619.4274,153.3955,16.79,26.5,6.41,19.08
P41,EN,1,0-back,1.526,81.23,9.5,738.67,287.0745,296.9188,9.7166,0.0267,0.0035,7.5769,210.3814,348.0944,84,27.14,172.42,424,232.98,98.785,67,3875,1032,21.2,3008,3.4389,0.2175,28.5578,1265.6595,67.2457,17.57,31.6,10.16,19.96
P41,EN,1,1-back,1.78,74.06,7.5,810.15,683.3575,680.6256,12.7193,0.0039,0.0026,1.4893,482.3385,839.769,85,27.46,169.78,461,212.3,97.868,63.09,9318,1081,20.71,2548.5,3.5446,0.3093,31.1003,862.9249,64.9935,36.16,50,2.91,14.91
P41,EN,1,2-back,1.938,83.47,17.44,718.83,168.4359,208.69,21.4008,0.0119,0.0204,0.5834,147.8552,187.0936,33,10.66,148.97,160,217.24,34.759,67.32,665,399,21.16,146,3.8765,0.3376,29.4743,929.6176,65.8009,49.51,28.09,51.91,38.93
P41,EN,1,baseline,1.822,86.73,22.53,691.81,188.6204,171.8577,9.7378,0.0538,0.0111,4.8595,121.7508,237.8748,87,28.11,157.6,376,231.84,87.172,64.79,20245,812,22.71,417,3.2687,0.2954,35.6358,1069.7567,88.4166,9.46,29.39,2.51,11.07
P42,EN,1,0-back,1.519,88.8,9.5,675.66,51.0233,25.5095,3.0303,0.006,0.0029,2.073,18.0719,69.9693,45,15.03,121.56,267,563.69,150.505,88.75,16235,427,34.45,703.5,5.1126,0.4319,18.814,1998.3455,74.1728,41.25,50,0.28,7.52
P42,EN,1,1-back,1.78,89.65,7.5,669.24,75.6263,44.8538,4.4944,0.0083,0.0051,1.6181,31.7761,102.3119,72,24.05,126.17,306,467.55,143.071,86.52,692,530,30.8,606,5.5226,0.5119,19.4014,2715.1473,84.1213,17.17,38.36,1.14,8.77
P42,EN,1,2-back,1.938,87.4,17.44,686.48,49.3904,29.2236,5.7692,0.0205,0.0064,3.1806,20.7014,66.1202,75,25.06,127.6,273,489.72,133.694,85.32,2370,502,34.02,804,5.5439,0.464,22.3532,1394.3843,83.4314,38.63,27.58,35.38,27.3
P42,EN,1,baseline,2.224,87.51,22.53,685.64,59.7654,56.9856,4.2308,0.0552,0.0214,2.5756,40.3723,74.357,56,18.71,129.75,272,495.35,134.734,86.08,640,463,36.29,609,4.8972,0.5219,22.8557,1394.6383,83.5981,7.27,24.86,1.86,7.27
P43,YN,2,0-back,1.78,65.18,8.41,920.53,86.9937,68.5822,19.0661,0.0244,0.0285,0.8553,48.5897,113.2451,154,38.84,166.4,329,139.16,45.783,33.31,4560,1856,28.96,975,3.9087,0.3039,110.6746,2070.5506,240.447,63.99,30.84,47.98,15.58
P43,YN,2,1-back,1.97,63.79,7.75,940.54,250.4394,198.544,30.1587,0.0101,0.0024,4.1681,140.6723,325.7775,171,43.13,178.86,290,114.35,33.162,25.04,7325,2013,28.46,951,3.8784,0.3393,128.2231,2051.2779,256.8134,51.06,22.41,47.93,15.97
P43,YN,2,2-back,2.295,54.88,6.36,1093.34,415.3937,413.8037,42.3963,0.0079,0.0046,1.7359,293.2831,509.4458,185,46.66,178.97,322,110.86,35.697,24.43,2688,2177,29.56,1532,4.3118,0.4093,134.4211,2402.2213,256.6225,28.31,31.54,25,27.31
P43,YN,2,baseline,1.511,60.01,6.42,999.77,361.1748,381.2695,27.4262,0.0159,0.0022,7.2139,270.168,433.7565,169,42.62,181.62,367,142.66,52.358,36.42,195,1888,26.32,93,3.8503,0.366,83.3273,1722.4114,191.5708,38.68,33.57,29.13,24.99
P44,YN,1,0-back,1.774,58.09,8.41,1032.92,421.9094,356.2328,45.2381,0.0171,0.0037,4.5658,252.3726,537.4487,128,29.35,171.85,477,149.35,71.239,41.92,3521,2154,26.06,981,3.7853,0.496,88.7351,2065.2071,213.8285,49.21,19.59,47.07,15.17
P44,YN,1,1-back,1.938,65.75,7.75,912.61,76.003,38.6761,17.1329,0.0139,0.0026,5.2948,27.3957,104.0857,79,18.11,170.92,194,138.76,26.92,41.04,896,798,27.69,83,3.7389,0.2354,88.4454,2008.0767,212.0025,51,17.93,48.67,11.97
P44,YN,1,2-back,2.295,65.04,6.36,922.57,147.8259,109.6905,15.2482,0.0149,0.0028,5.2921,77.7007,194.313,165,37.83,179.8,389,147.13,57.234,41.91,890,1691,27.17,217,4.3608,0.4475,89.7139,1786.2128,210.2917,48.17,13.39,46.13,13.83
P44,YN,1,baseline,1.506,55.43,6.42,1082.39,704.6112,746.8912,44.5833,0.028,0.0027,10.2432,529.2402,846.7566,142,32.56,187,473,159.94,75.651,48.67,7590,1760,27.37,1629,3.9394,0.3635,84.3593,1811.5691,213.8145,53.29,23.19,47.8,14.96
P45,YN,1,0-back,1.78,23.08,8.41,2599.73,2599.6505,3106.5805,68,0.0455,0.0061,7.4936,2218.5454,2923.3839,86,39.26,159.16,243,237.42,57.692,65.9,1380,684,26.65,330,3.8603,0.5724,32.9199,2564.5495,94.4968,52.85,22.93,48.21,14.92
P45,YN,1,1-back,1.938,44.81,7.75,1339.08,1223.1197,1288.3594,53.6842,0.0167,0.0011,15.7122,915.8808,1477.0081,100,45.65,142.61,251,287.99,72.286,71.8,1435,668,26.71,145,4.4852,0.7656,29.0424,1618.298,80.5897,53.11,23.17,46.91,14.51
P45,YN,1,2-back,2.295,57.02,6.36,1052.19,645.9565,776.899,61.7886,0.0291,0.0284,1.026,551.2501,678.6615,65,29.67,170.8,330,182.85,60.342,54.63,2758,1248,20.66,595,5.4017,0.3263,26.6854,1294.2149,53.0482,67.15,31.65,5.5,12.86
P45,YN,1,baseline,1.5,67.48,6.42,889.12,597.6384,472.0988,22.069,0.0395,0.004,9.805,334.9884,779.0573,131,59.8,168.56,236,212.85,50.233,55.32,1481,862,27.13,334,4.101,0.5769,38.8908,1098.165,93.8363,51.61,20.54,47.77,14.01
P46,YN,2,0-back,1.78,48.99,8.41,1224.74,212.0746,218.9006,68.9441,0.0069,0.0097,0.7123,155.0278,257.0955,490,74.28,163.35,98,131.16,12.854,35.61,1370,412,22.24,300,4.5653,0.3081,34.1928,845.3371,66.9237,57.72,28.06,46.3,13.85
P46,YN,2,1-back,1.938,47.36,7.75,1266.84,195.0427,142.9051,68.4887,0.0157,0.0119,1.3136,101.2125,257.0543,422,63.97,181.87,73,194.52,14.2,60.76,1370,172,22.08,228,4.3664,0.3032,28.6861,901.7124,74.2597,52.76,26.96,44.56,16.18
P46,YN,2,2-back,2.295,46.95,6.36,1277.98,150.7314,159.4246,64.7249,0.0243,0.0301,0.8067,112.9113,180.732,344,52.15,175.86,72,184.85,13.309,60.55,2096,164,19.95,491,4.4247,0.3227,25.8855,1224.759,69.1559,66.62,32.92,4.15,8.98
P46,YN,2,baseline,1.495,46.87,6.42,1280.01,386.4906,273.0434,69.4805,0.0041,0.0045,0.8996,193.3851,508.71,337,51.09,166.21,148,180.21,26.671,54.97,1370,356,22.82,280,4.4906,0.3515,28.7563,1031.1483,66.4029,51.7,23.03,46.12,14.64
